StateWellNumber,WellDepth_x,LatitudeDD_x,LongitudeDD_x,TEMPERATURE_CELSIUS,SPECIFIC CONDUCTANCE,PH,ALKALINITY,PHOSPHORUS_DIS,HARDNESS_total,CALCIUM_DIS,MAGNESIUM_DIS,SODIUM_DIS,SODIUM_AD_RAT_SAR,SODIUM_%,POTASSIUM_DIS,CHLORIDE_DIS,SULFATE_DIS,SILICA_DIS,ARSENIC_DIS,Mn_DIS,STRONTIUM_DIS,TOTAL DISSOLVED SOLIDS,WellDepth_y,LatitudeDD_y,LongitudeDD_y,WaterLevel,LatitudeDD,LongitudeDD,claytotal_l,claytotal_r,claytotal_h,chtexture_OBJECTID,chtexture_texcl,FLUORIDE_DIS,Y_value,tex_index
5301608,280,30.926944,-102.876111,21.3,5990,6.86,218,,1658,426,131,442,4.8,38,17.7,848,1190,22.9,6,10,48100,3303,280,30.926944,-102.876111,75.47176471,30.93,-102.88,0,0,0,95135,Silty clay loam,1.9,1,
5302804,250,30.905,-102.8191667,21,3640,6.79,247,,1097,279,95.5,389,5.12,44,18.7,584,894,27.6,2.08,1.02,5620,2469,250,30.905,-102.8191667,59.9,30.91,-102.82,26,30.5,35,94996,Silty clay loam,1.72,1,10
5308601,260,30.9566667,-102.0330556,22.15,1150,7.12,232,0.02,401,101.95,34.4,83.2,1.815,31,2.605,177,79.2,18.8,2,1,4560,647.5,260,30.9566667,-102.0330556,186.2662162,30.96,-102.03,27,33.5,40,95146,Silty clay loam,1.07,1,10
5309306,235,30.8738889,-102.8822222,18,3200,7.39,194,,923,225,86.3,272,3.9,39,15.8,431,722,12.9,1,392,4650,1899,235,30.8738889,-102.8822222,64.57119048,30.87,-102.88,0,0,0,95169,Silty clay loam,1.4,1,
5309307,250,30.8486111,-102.8983333,23,1700,7.33,221,0.02,528,136,45.2,215,4.08,47,8.71,329,390,13.4,2,13.7,2250,1274,250,30.8486111,-102.8983333,113.4979104,30.85,-102.9,0,0,0,95169,Silty clay loam,1.84,1,
5313207,315,30.841945,-102.455834,22.4,1241,7.33,219,,418,110,34.5,110,2.34,36,5.7,153,210,14.7,1,2,1360,776,315,30.841945,-102.455834,117,30.84,-102.46,27,33.5,40,95146,Silty clay loam,1.4,1,10
5313208,342,30.853334,-102.449722,23.9,754,7.33,202,,352,102,23.4,52.9,1.22,25,3,77,123,15.6,1,14,824,525,342,30.853334,-102.449722,107,30.85,-102.45,27,33.5,40,95146,Silty clay loam,1,1,10
5313210,210,30.855,-102.4438889,21.7,3230,7.03,211,0.02,974,237,91.6,336,4.69,43,8.73,566,610,26.8,2.27,6.4,4590,2056,210,30.855,-102.4438889,83,30.86,-102.44,0,0,0,95169,Silty clay loam,2.17,1,
5331202,310,30.6138889,-102.1880556,22,1081,7.11,205,,370,100,29,92.3,2.09,35,4.78,123,165,20.5,2,1.36,1430,664,310,30.6138889,-102.1880556,144.15,30.61,-102.19,27,33.5,40,95146,Silty clay loam,0.54,0,10
5340102,740,30.464167,-102.101945,23.3,770,7.25,199,,305,85.7,21.7,50.9,1.27,27,3.2,65,102,17.1,1,1,1070,473,740,30.464167,-102.101945,15,30.46,-102.1,20,26,40,107354,Silt loam,1.2,1,8
5351801,1010,30.151112,-102.687222,24.05,616.5,7.035,228.5,0.02,229.5,62.3,17.95,32.15,0.915,23,1.62,20.45,36.6,18.2,2,5.215,564,337,1010,30.151112,-102.687222,560,30.15,-102.69,27,33.5,40,95146,Silty clay loam,0.375,0,10
5436902,650,30.396111,-101.529722,24.2,531,7.39,192,,213,45.6,23.8,25.4,0.75,21,0.82,36.1,24.4,19.7,2.04,1.02,1260,303,650,30.396111,-101.529722,287.3,30.4,-101.53,22,31,40,98491,Clay loam,0.88,1,2
5442104,800,30.3708333,-101.8441667,25,884,7.235,213.5,0.02,314.7955,76.55,29.5,81.55,2.003,36.2825,6.435,62.3,176,9.5,1.5,24.45,1940,573.785,800,30.3708333,-101.8441667,560,30.37,-101.84,20,26,40,107354,Silt loam,1.78,1,8
5463802,155,30.0405556,-101.1927778,26.4,470,7.12,219,,236,73,12.9,7.02,0.19,6,1.36,10.1,8.84,17.3,2.04,2.2,601,269,155,30.0405556,-101.1927778,68.2,30.04,-101.19,15,28,40,115432,Silt loam,0.35,0,8
5463901,137,30.0127778,-101.1652778,22.8,491,7.19,226,,244,72.3,15.2,8.06,0.22,7,1.41,12.1,8.89,16.5,2.04,1.02,759,280,137,30.0127778,-101.1652778,68.25,30.01,-101.17,20,26,35,115406,Silt loam,0.36,0,8
5520904,275,30.663612,-100.505278,20.425,503.3333333,6.94,221.25,0.02,224.8595,53,22.35,14.675,0.4255,12.288,1.0975,20.75,11.7075,14.975,1.75,3.4525,576.5,280.5005,275,30.663612,-100.505278,233.8909302,30.66,-100.51,35,42.5,50,107455,Clay,0.8085,1,1
